Title,Genres,Release Year,Budget ($),Revenue ($),Vote Average,Vote Count,Return on Investment,Profit ($),,,,
Race,Action,2016,5000000,24804129,7.1,478,3.96,19804129,,,,
Central Intelligence,Action,2016,50000000,216972543,6.2,1650,3.34,166972543,,,,
"Hail, Caesar!",Comedy,2016,22000000,63647656,5.7,1309,1.89,41647656,,,,
The 5th Wave,Adventure,2016,38000000,109906372,5.6,1945,1.89,71906372,,,,
How to Be Single,Comedy,2016,38000000,112343513,5.9,1201,1.96,74343513,,,,
The Birth of a Nation,Drama,2016,8500000,15861566,6.5,178,0.87,7361566,,,,
Pete's Dragon,Adventure,2016,65000000,143695338,6.2,679,1.21,78695338,,,,
Midnight Special,Adventure,2016,18000000,6212282,6.2,694,-0.65,-11787718,,,,
Bad Moms,Comedy,2016,20000000,183936074,6.3,1252,8.20,163936074,,,,
Me Before You,Drama,2016,20000000,207945075,7.6,2562,9.40,187945075,,,,
Risen,Action,2016,20000000,46069568,5.7,295,1.30,26069568,,,,
The Purge: Election Year,Action,2016,10000000,118587880,6.1,1306,10.86,108587880,,,,
Airlift,Thriller,2016,4500000,32000000,7.3,57,6.11,27500000,,,,
Lights Out,Horror,2016,4900000,44107032,6.3,1129,8.00,39207032,,,,
The Young Messiah,Drama,2016,18500000,6490401,6.4,30,-0.65,-12009599,,,,
Neighbors 2: Sorority Rising,Comedy,2016,35000000,108758521,5.6,1462,2.11,73758521,,,,
Criminal,Action,2016,31500000,14708696,5.7,557,-0.53,-16791304,,,,
Jason Bourne,Action,2016,120000000,415484914,5.9,2341,2.46,295484914,,,,
The Secret Life of Pets,Animation,2016,75000000,875958308,5.9,3462,10.68,800958308,,,,
The Huntsman: Winter's War,Action,2016,115000000,164602163,6,1523,0.43,49602163,,,,
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy,2016,135000000,245623848,5.8,963,0.82,110623848,,,,
Allegiant,Adventure,2016,110000000,179246868,5.9,1998,0.63,69246868,,,,
The Witch,Mystery,2016,3500000,40423945,6.3,1434,10.55,36923945,,,,
Jane Got a Gun,Action,2016,25000000,1397284,5.4,285,-0.94,-23602716,,,,
10 Cloverfield Lane,Thriller,2016,15000000,108286421,6.8,2468,6.22,93286421,,,,
The Neon Demon,Thriller,2016,7000000,1333124,6.4,887,-0.81,-5666876,,,,
The BFG,Adventure,2016,140000000,183345589,6,1000,0.31,43345589,,,,
Batman v Superman: Dawn of Justice,Action,2016,250000000,873260194,5.7,7004,2.49,623260194,,,,
Shin Godzilla,Action,2016,15000000,77000000,6.5,143,4.13,62000000,,,,
The Legend of Tarzan,Action,2016,180000000,356743061,5.5,2430,0.98,176743061,,,,
Gods of Egypt,Fantasy,2016,140000000,150680864,5.3,1277,0.08,10680864,,,,
Fifty Shades of Black,Romance,2016,20000000,21164799,4.3,331,0.06,1164799,,,,
The Conjuring 2,Horror,2016,40000000,320170008,7,1949,7.00,280170008,,,,
Triple 9,Action,2016,20000000,12639297,5.6,797,-0.37,-7360703,,,,
Dirty Grandpa,Comedy,2016,11500000,94073028,5.7,1406,7.18,82573028,,,,
Independence Day: Resurgence,Action,2016,165000000,389681935,4.9,2491,1.36,224681935,,,,
The Finest Hours,Action,2016,80000000,52099090,6.3,588,-0.35,-27900910,,,,
X-Men: Apocalypse,Sci-Fi,2016,178000000,543934787,6.4,4721,2.06,365934787,,,,
13 Hours: The Secret Soldiers of Benghazi,Action,2016,50000000,69411370,7,938,0.39,19411370,,,,
Nerve,Mystery,2016,20000000,83707310,7.1,2181,3.19,63707310,,,,
The Boy,Horror,2016,10000000,64188367,5.8,1102,5.42,54188367,,,,
Green Room,Horror,2016,5000000,3220371,6.7,683,-0.36,-1779629,,,,
Ride Along 2,Action,2016,40000000,124827316,6.1,555,2.12,84827316,,,,
Free State of Jones,War,2016,50000000,25035950,6.6,428,-0.50,-24964050,,,,
Zoolander 2,Comedy,2016,50000000,55969000,4.7,797,0.12,5969000,,,,
God's Not Dead 2,Drama,2016,5000000,23507567,5.7,72,3.70,18507567,,,,
The Infiltrator,Crime,2016,25000000,15436808,6.6,573,-0.38,-9563192,,,,
Ben-Hur,Drama,2016,100000000,94061311,5.3,621,-0.06,-5938689,,,,
Now You See Me 2,Action,2016,90000000,334901337,6.7,3235,2.72,244901337,,,,
My Big Fat Greek Wedding 2,Romance,2016,18000000,88923251,5.5,322,3.94,70923251,,,,
